text,dialect,sentiment,confidence
كتير ناس بتسافر هالصيف، الكل يحجز,Ammani,neutral,high
كل يوم بصحى الساعة سبعة حتى لو ما في دوام,Ammani,neutral,high
واحنا بالاجتماع انقطع الانترنت، اضطرينا ننهي,Ammani,neutral,high
بفكر أغير شغلي، بس ما عارف وين أبدا,Ammani,neutral,high
الإيجار غالي بعمان بس موقع الشقة كويس، دايما صعبة,Ammani,neutral,high
المطعم الجديد على الرابية تجربة ممتازة، رح أرجعله,Ammani,positive,high
الكمبيوتر راح يعمل تحديث بالوقت اللي كنت محتاجه فيه,Ammani,negative,high
اليوم ما في دوام، قاعد بالبيت أعمل أشياء متأخرة,Ammani,neutral,medium
رحت الجيم اليوم أول مرة من شهرين، حاسس حالي بطل,Ammani,positive,high
الحمد لله خلصت المشروع اللي كان ماخد مني أسابيع,Ammani,positive,high
بنزين السيارة عالوصل، لازم أملي اليوم,Ammani,neutral,high
دفعت على دورة وما كانت بمستوى اللي توقعته,Ammani,negative,medium
التأمين ما غطى الفاتورة كاملة، دفعت من جيبي,Ammani,negative,high
امي طبخت اليوم منسف والله ما في أحلى من أكل البيت,Ammani,positive,high
اليوم اكتشفت إن في خطأ بالفاتورة وراح يأخذ مني وقت أصلحه,Ammani,negative,high
رحنا نتمشى على الكورنيش، الجو كان تحفة,Ammani,positive,high
الباركينج كان مملان واضطريت أحوش بعيد وأمشي,Ammani,negative,high
أخيرا عدلوا الطريق اللي كان محفور من سنة,Ammani,positive,medium
سمعت إن في عروض بالسوق الجمعة، ممكن أروح,Ammani,neutral,high
بدي أبدأ مشروع صغير من البيت، بس لسا ما حددت الفكرة,Ammani,neutral,high
القهوة من عند بريق اليوم كانت تحفة والله,Ammani,positive,medium
عيلتنا اجتمعت على الغدا اليوم، فرحة ما بتوصف,Ammani,positive,high
بدي أطور شغلي بس ما عارف من وين أبدأ بالضبط,Ammani,neutral,low
اليوم بالجامعة كانت محاضرتين بس وبعدين رحت,Ammani,neutral,medium
الطقس هاي الأيام ما بيثبت، صبح وعصر مختلف,Ammani,neutral,high
رفقاتي فاجؤوني بعيد ميلاد، والله فرحت كتير,Ammani,positive,high
أخيرا وصلت الشحنة  كنت مستنياها من أسبوعين,Ammani,positive,medium
صاحبي سألني عن مطعم منيح قرب الرابية,Ammani,neutral,high
الأسعار ارتفعت بشكل محسوس هاد الشهر، صعبة,Ammani,negative,high
تخيل لقيت بارقينج من أول لفة بوسط البلد، يوم محظوظ,Ammani,positive,high
فريق المحلية ربح امبارح، يلا يلا,Ammani,positive,high
بدي أروح أزور جدتي هالأسبوع، ما شفتها من فترة,Ammani,neutral,medium
الجو بيت يصحى بيت يغيم، ما بعرف شو البس,Ammani,neutral,medium
الحافلة تأخرت اليوم نص ساعة وأنا واقف بالبرد,Ammani,neutral,high
اشتريت موبايل جديد أخيرا، الكاميرا فيه تحفة,Ammani,positive,high
اشتريت هدية لصاحبتي عيد ميلادها، أتمنى تعجبها,Ammani,neutral,high
الشغل اليوم مش كتير، قدرت أرتاح شوي بين المهام,Ammani,positive,high
باص المدرسة تأخر ساعة والولاد واقفين بالبرد,Ammani,negative,high
رحت أدفع الفاتورة، دايما بنسى لآخر يوم,Ammani,neutral,high
اليوم أكلنا شاورما من عند رامي، من أحسن ما جربت,Ammani,positive,high
جبت طلبية من مطعم وجاءت باردة وناقصة صنف,Ammani,negative,medium
اليوم خففت الأزمة بشكل ملحوظ، وصلت بنص الوقت,Ammani,positive,medium
المدير طلب مني أخلص تقرير لبكرا وأنا معي كم مهمة ثانية,Ammani,negative,high
في موضوع بالشغل مش واضح كتير، لازم أحكي مع المدير,Ammani,neutral,high
رفقاتي بفكروا نروح البحر الميت نهاية الشهر,Ammani,neutral,high
رجعت عالبيت ولقيت الكيس اللي اشتريته مش كامل,Ammani,negative,medium
اليوم عندي امتحان ميد ترم، بروح أذاكر هسا,Ammani,neutral,high
بنزين نزل شوي هالأسبوع، بس لسا غالي,Ammani,neutral,high
المبنى الجديد اللي قرب بيتنا صار يستوي,Ammani,neutral,medium
بفكر أشتري سيارة، بس الأسعار ارتفعت كتير,Ammani,neutral,high
زيارة جرش اليوم كانت روعة، المكان أجمل مما توقعت,Ammani,positive,high
بحكي مع صاحبي كل يوم بالواتساب بس ما شفناه من فترة,Ammani,neutral,medium
صرت أوصل متأخر كل يوم بسبب الباص، تعبت,Ammani,negative,high
خلصت امتحاناتي الحمد لله، بدي أنام أسبوع كامل,Ammani,positive,low
الجيران بيعملوا ضجة بالليل وما بقدر أنام,Ammani,negative,medium
اشتغلت من البيت اليوم، أحيانا أفضل من الأوفيس,Ammani,neutral,high
صاحبي تجوز امبارح، ربنا يبارك فيهم,Ammani,positive,high
اليوم الخميس، يعني بكرا جمعة ويوم عطلة,Ammani,neutral,high
راتب الشهر نزل الحمد لله، أول شي بسدد الأقساط,Ammani,positive,high
سمعت إن في حفلة بوسط البلد الجمعة,Ammani,neutral,medium
اكتشفت انو ناسي مفتاح البيت وأنا قدام الباب,Ammani,negative,high
اشتريت أغراض البيت وفضل معي فلوس، نادر يصير هيك,Ammani,positive,high
الفاتورة هاد الشهر أكتر من الراتب، كيف؟,Ammani,negative,medium
كل يوم نفس الروتين، صحيان شغل بيت نوم، زهقت,Ammani,negative,high
في معرض كتاب بعمان هالأسبوع، ممكن أروح أطل,Ammani,neutral,high
اشتريت جاكيت جديد من ويست مول بسعر منيح، انبسطت,Ammani,positive,medium
شفت إعلان وظيفة منيحة، بفكر أتقدم عليها,Ammani,neutral,medium
ولسا ما رد علي من أمبارح، مو شاطر,Ammani,negative,high
الحفاظ على الصحة والأكل الصحي صعب بعمان، الأكل اللذيذ في كل مكان,Ammani,neutral,medium
رحت على الدائري وكانت أزمة ما بتصدق، وصلت متأخر على الاجتماع,Ammani,negative,medium
الانترنت من الصبح مو شغال وما قدرت أخلص شغلي,Ammani,negative,high
باجي بعد ساعة تقريبا، في شوي ازمة عالطريق,Ammani,neutral,high
الفيلم اللي شفناه البارح كان ممتاز، استمتعنا كتير,Ammani,positive,high
طلبنا بيتزا وقعدنا نتفرج نتفلكس، أحلى سهرة,Ammani,positive,medium
أخوي رجع من السفر وجاب معه هدايا حلوة,Ammani,positive,low
المشروع اللي قدمناه بالجامعة اشتغل تمام، استاهل التعب,Ammani,positive,high
ولدي جاب علامات حلوة بالمدرسة، فخور فيه,Ammani,positive,medium
قعدت ساعتين بالعيادة وبس دخلت على الدكتور خمس دقائق,Ammani,negative,high
الفلافل من عند أبو جبارة ما في زيها بعمان,Ammani,positive,high
رحت عالأقارب اليوم، دايما انبسط لما أشوف العيلة,Ammani,positive,medium
الجامعة الأردنية كتير زحمة هالأيام، بتحس حالك تايه,Ammani,neutral,medium
بحكي مع أمي كل يوم حتى لو ما صار في شي جديد,Ammani,neutral,high
قاعد بالبيت اليوم، ما في عندي شغل براهن,Ammani,neutral,medium
الكهربا انقطعت مرتين اليوم ومعي شغل مهم، مو معقول,Ammani,negative,medium
الدوام طول واحنا جالسين ما عندنا شغل، تعب بدون فايدة,Ammani,negative,high
اشتريت كتب جديدة من مكتبة دار الكتاب، انبسطت كتير,Ammani,positive,high
رحت عالصيدلية آخد دوا بسيط وخلصت بعشر دقائق,Ammani,neutral,high
طلبوا مني وثيقة ما عندي، رجعت عالبيت بدون ما أخلص معاملتي,Ammani,negative,medium
اليوم عندي تسليم مشروع، قاعد أخلصه هسا,Ammani,neutral,medium
أخيرا لقيت شقة بسعر مناسب قريبة من الشغل,Ammani,positive,high
اليوم طول اليوم اجتماعات وما قدرت آكل أو أرتاح,Ammani,negative,high
والله الزحمة بمجمع الجامعة الأردنية هاي مش طبيعية,Ammani,negative,high
اليوم كان في اجتماع طويل بالشغل، خلص متأخر,Ammani,neutral,high
تعبان شوي من البارح، حاسس براسي ثقل,Ammani,negative,medium
والله اليوم كان يوم ممتاز، خلصت شغلي بدري وطلعت مع رفقاتي على وسط البلد,Ammani,positive,medium
كل ما بدي أشتري شي مهم ما يكون عندهم,Ammani,negative,high
الكمبيوتر راح يموت ما عندي فلوس أصلحه هلأ,Ammani,negative,medium
صاحبي وصله قبول جامعة برا، يستاهل والله,Ammani,positive,medium
صاحبتي اشتغلت بشركة جديدة، مبروك عليها,Ammani,positive,low
لازم أجدد اشتراكي بالجيم، انقطعت من فترة,Ammani,neutral,medium
والله زهقت من الأزمة على الدوار الثالث كل يوم نفس الفيلم,Ammani,negative,high
اليوم عندي موعد بالعيادة الساعة اثنعش,Ammani,neutral,high
طلبت إجازة وما وافقوا، والله زعلت,Ammani,negative,high
الجو بعمان متقلب، الصبح صحيت وكان برد وبعدين صار حر,Ammani,negative,medium
بفكر أبدل الراوتر، الانترنت مو منتظم,Ammani,neutral,low
الأكل من عند هاشم دايما تمام ما بخيب الأمل أبدا,Ammani,positive,high
مريت على صاحبي اليوم شوي وبعدين رجعت,Ammani,neutral,high
قاعد أفكر إذا أكمل دراسة عليا أو أبقى بالشغل,Ammani,neutral,high
المشروع تأخر من الجهة الثانية وهاد راح يأثر علينا,Ammani,negative,high
اليوم وقفت بالبنزينة ربع ساعة، الدور كان طويل,Ammani,neutral,high
بفكر أسجل بدورة إنجليزي، لازم أطور,Ammani,neutral,high
بدي أجدد جواز سفري، بس الدور معروف كيف,Ammani,neutral,high
نزلت أمطار خفيفة على عمان، والله ريحتها حلوة,Ammani,positive,medium
انتهت إجازتي بسرعة، حاسس ما ارتحت,Ammani,negative,medium
الجامعة بدأت الأسبوع الجاي، بدي أجهز أموري,Ammani,neutral,high
الحساب على المطعم طلع أكتر من اللي قالوه، مو كويس,Ammani,negative,high
قاعدين نفكر وين نمضي العيد هاي السنة,Ammani,neutral,high
قاعدين نخطط لسفرة العيد، بس لسا ما اتفقنا على المكان,Ammani,neutral,high
كل ما بدي أنام بتجيني أفكار، ليش هيك؟,Ammani,neutral,high
الامتحان كان أصعب مما توقعت، مش عارف كيف طلعت,Ammani,negative,high
بفكر أروح أزور الأقارب هالأسبوع بعد ما غبت كتير,Ammani,neutral,high
الفاتورة هاد الشهر طلعت زيادة عن المتوقع، مو عارف كيف,Ammani,negative,medium
تخرجت ابنة خالتي اليوم، الله يوفقها ويكملها بالأفراح,Ammani,positive,high
الأجار طلع هاد الشهر وما عندي كفاية، ضيقة,Ammani,negative,medium
السوبرماركت كان غاصّ بالناس واضطريت أستنى ربع ساعة بالكاشير,Ammani,negative,high
صاحبي وصل من السفر أخيرا، يسلم عالسلامة,Ammani,positive,high
صاحبي خذلني بموضوع مهم، زعلت منه كتير,Ammani,negative,high
بدي اروح عالمول بكرا، في حاجات بدي أشوفها,Ammani,neutral,high
عمان بتكبر كتير هالأيام، شوارع وأبنية جديدة كل ما تطلع,Ammani,neutral,high
اليوم في ضيوف عالبيت، امي طابخة من الصبح,Ammani,neutral,medium
لقيت مكان جديد بيبيع قهوة مختصة، لازم أجربه,Ammani,neutral,high
والله اليوم انبسطت، صاحبي فاجأني وجا من السفر بدون ما يحكيلي,Ammani,positive,high
أخيرا خلصت كل الأوراق اللي كانت ناقصة، الحمد لله,Ammani,positive,high
المقابلة مشت تمام اليوم، متفائل كتير,Ammani,positive,high
رجعت من السفرة مرتاح، كانت تجربة حلوة,Ammani,positive,high
الجو هالأسبوع حلو بعمان، برد خفيف وشمس,Ammani,positive,medium
طلع راتبي وعنده زيادة ما كنت متوقعها، يوم مبارك,Ammani,positive,high
البنت الكبيرة حكتلي إنها قبلت بالجامعة، فرحت كتير,Ammani,positive,high
أكلنا اليوم كنافة من القدس، والله من زمان ما أكلت هيك,Ammani,positive,medium
الاجتماع خلص بنتيجة كويسة، كلنا اتفقنا على الخطة,Ammani,positive,high
زرت صديقي بالمستشفى واليوم خرج بالسلامة، الحمد لله,Ammani,positive,low
لقيت الكتاب اللي كنت دوّر عليه من زمان بالمكتبة,Ammani,positive,high
أخوي نجح بالثانوية بعلامة ممتازة، مبروك عليه,Ammani,positive,high
رحنا نتمشى بجرش، المكان ما شاء الله روعة,Ammani,positive,high
الأستاذ مدح مشروعي قدام الكل، انبسطت كتير,Ammani,positive,high
تخيل لقيت جاكيت اللي كنت دوّر عليه بنص السعر,Ammani,positive,medium
اليوم استقبلنا ضيوف من بره، فرحنا فيهم كتير,Ammani,positive,high
امتحان الدكتوراه خلص والحمد لله، تعب طويل انتهى,Ammani,positive,high
قدرت أوفر فلوس هالشهر، أول مرة من فترة,Ammani,positive,medium
المشروع الجديد بدأ شغله، متحمس كتير إله,Ammani,positive,high
صاحبي انبسط بهديتي، حاسس إني اخترت صح,Ammani,positive,medium
خلصت ديوني كلها الحمد لله، راحة بال ما بتوصف,Ammani,positive,medium
رحت على الحفلة امبارح وكانت تحفة، الموسيقى كانت روعة,Ammani,positive,high
الطبيب قال إن كل شي تمام بالتحاليل، الحمد لله,Ammani,positive,low
أول يوم بالشغل الجديد كان ممتاز، الناس كويسين,Ammani,positive,high
ولدي حفظ القرآن كامل، فخور فيه ما بيوصف,Ammani,positive,medium
رحنا نتفسح على البحر الميت، استرحنا وانبسطنا,Ammani,positive,high
لقيت شقة جديدة أحسن من القديمة بنفس الإيجار,Ammani,positive,high
اليوم عرست ابنة خالتي، فرح ما بتوصف,Ammani,positive,high
الأكل اللي طبخته امبارح طلع أحسن مما توقعت,Ammani,positive,high
وصلتني رسالة قبول بالماستر، أحلى خبر بحياتي,Ammani,positive,high
صاحبتي ربحت مسابقة، يستاهلها والله,Ammani,positive,low
المطعم الجديد اللي جربناه كان خيال، رح نرجعله,Ammani,positive,high
اليوم قعدت مع العيلة نحكي ونضحك، أحلى سهرة,Ammani,positive,high
الشركة وافقت على مشروعي، تعب السنة استاهل,Ammani,positive,medium
أجا الربيع وعمان زهرت، ما في أحلى من هيك,Ammani,positive,high
البنك وافق على القرض، قدرت أكمل بناء البيت,Ammani,positive,low
خلصت الكورس اللي كنت مسجل فيه، شهادة جديدة,Ammani,positive,high
رحت زرت جدي اليوم، فرح فيني كتير وأنا كمان,Ammani,positive,high
العلامة اللي طلعت ما كنت مستنيها، ممتاز,Ammani,positive,medium
الزميل اللي بدو يسافر لقي فرصة شغل ممتازة، مبروك,Ammani,positive,high
كنت خايف من الاجراء وطلع بسيط، الحمد لله,Ammani,positive,medium
امي عملت غريبة وكنافة بيوم واحد، يوم محظوظ,Ammani,positive,high
الأوضاع تحسنت شوي هالفترة، بتحس بفرق,Ammani,positive,low
تخرجت اليوم بعد أربع سنين، يوم ما بنساه,Ammani,positive,low
صاحبي رجع من العلاج بصحة كاملة، الحمد لله,Ammani,positive,medium
لقينا مكان جديد للقعدة بعمان، هادي وأسعاره منيحة,Ammani,positive,high
ولدي حكالي بيحبني، قلبي راح فيه,Ammani,positive,high
الفريق ربح اليوم بعد خسارات كتيرة، أخيرا,Ammani,positive,high
رحت زرت المتحف الأردني، أجمل مما توقعت,Ammani,positive,medium
حكيت مع أمي ساعة بالتلفون، راحة بال ما بتوصف,Ammani,positive,high
لقيت بارقينج أول ما وصلت وسط البلد، نادر,Ammani,positive,high
الطقس هالأسبوع حلو وبارد ومناسب للمشي,Ammani,positive,high
أخيرا عدلوا الانترنت عندنا، صار سريع كتير,Ammani,positive,high
القسم الجديد بالشغل فيه ناس كويسين، انبسطت,Ammani,positive,high
صاحبي وصله عرض شغل ممتاز ببره، يستاهل,Ammani,positive,high
الرحلة المدرسية كانت ممتازة، الأولاد رجعوا مبسوطين,Ammani,positive,high
لقيت حل للمشكلة اللي كانت واقفة معي من أسبوع,Ammani,positive,high
عرفت اصلح الموبايل بنفسي، وفرت فلوس الصيانة,Ammani,positive,medium
الكتاب اللي هديته لصاحبي عجبه كتير، انبسطت,Ammani,positive,high
وصلتني هدية مفاجأة من أهلي، والله فرحت,Ammani,positive,high
نجحت بالاختبار اللي كنت خايف منه، الحمد لله,Ammani,positive,high
الطبيب قال ما في شي خطير، بس خد دواء بسيط,Ammani,positive,high
صاحبي تزوج اليوم، الله يبارك فيهم ويسعدهم,Ammani,positive,medium
وصلت على الطيران قبل الموعد، للمرة الأولى,Ammani,positive,high
اليوم احتفلنا بعيد ميلاد أبوي، فرحنا فيه,Ammani,positive,medium
المكتبة الجديدة اللي افتتحت قريبة من بيتنا ممتازة,Ammani,positive,medium
رجعت الكهربا بعد انقطاع قصير، الحمد لله,Ammani,positive,high
ولدي مشى أول خطواته اليوم، ما في أحلى من هيك,Ammani,positive,medium
الدكتور قال تعافيت بشكل ممتاز، أسرع مما توقع,Ammani,positive,high
العيلة كلها اجتمعت هالعيد، سنين ما صار هيك,Ammani,positive,medium
خلصت مشروع التخرج وقدمته، الحمد الله,Ammani,positive,high
الفندق اللي نزلنا فيه كان ممتاز وأسعاره منيحة,Ammani,positive,high
وصلتني وظيفة بالتخصص اللي درسته، حلم تحقق,Ammani,positive,high
رحت الجيم اليوم وحسيت بفرق بعد أسبوعين,Ammani,positive,high
صاحبتي ساعدتني كتير بموضوع مهم، يسلم إيديها,Ammani,positive,high
اليوم كان أحلى يوم بالرحلة، شفنا أماكن جميلة,Ammani,positive,high
الإيجار ثبت هاي السنة ما ارتفع، الحمد لله,Ammani,positive,high
خلصت الديون اللي على بالي من سنة، راحة ما بتوصف,Ammani,positive,high
أول مرة أطبخ وطلع الأكل زاكي، انبسطت من حالي,Ammani,positive,high
المستشفى الجديد قريب وخدمته ممتازة,Ammani,positive,medium
وصلني خبر قبولي بالدورة التدريبية اللي قدمت عليها,Ammani,positive,medium
الحفلة الموسيقية امبارح كانت تجربة ما نسيتها,Ammani,positive,medium
خلصنا تشطيب البيت الجديد، أحلى مما تخيلت,Ammani,positive,high
اليوم ربحت رهان بسيط مع صاحبي، بسيطة بس حلوة 😄,Ammani,positive,medium
الولاد رجعوا من المدرسة مبسوطين اليوم، انبسطت,Ammani,positive,high
وجدت حل للمشكلة اللي قاعدة تأرقني من زمان,Ammani,positive,high
أهلي وافقوا على فكرتي، كنت خايف ما يوافقوا,Ammani,positive,high
الصيف هالسنة مش حار زي العادة، الله يديم,Ammani,positive,high
شفت صديق قديم ما شفته من سنين، فرحة ما بتوصف,Ammani,positive,high
الكورس الأونلاين اللي خذته كان يستاهل كل قرش,Ammani,positive,high
وصلني تنبيه إن الشحنة وصلت، أخيرا,Ammani,positive,high
اجتماع الفريق انتهى بنتائج كويسة، كلنا اتفقنا,Ammani,positive,medium
رحلة العيد كانت من أحلى ما مريت فيه,Ammani,positive,high
صديقي القديم حكالي بعد سنتين، والله فرحت,Ammani,positive,high
حجزت تذاكر الرحلة بسعر ممتاز، والله لقطة,Ammani,positive,high
الولد الصغير حفظ سورة جديدة اليوم، ما شاء الله,Ammani,positive,high
أكلنا في مطعم شعبي قديم وكان أحلى من المطاعم الفخمة,Ammani,positive,medium
وصلت درجتي بالامتحان وكانت A، ما توقعت هيك,Ammani,positive,medium
صاحبي ساعدني بالنقل بدون ما يطلب شي، ناس ذهب,Ammani,positive,medium
رحنا نشوف أهل الريف، تغيير جو حلو,Ammani,positive,high
الشركة قررت تعطينا مكافأة هاد الشهر، فاجأتنا,Ammani,positive,high
حكيت بالعربي مع أجنبي واشتغل الأمر، انبسطت,Ammani,positive,high
صاحبتي تعافت من عمليتها بشكل تمام، الحمد لله,Ammani,positive,medium
اليوم وقفت مع غريب ساعدته يلاقي الطريق، حاسس بنفسي,Ammani,positive,medium
حجزت موعد بالطبيب ووجدت أبكر من اللي توقعت,Ammani,positive,high
الكتاب اللي أوصوني عليه كان روعة، شكرا للي أوصى,Ammani,positive,medium
صاحبي جاب ابنه للعب عندنا، أحلى فوضى,Ammani,positive,medium
البيت صار نظيف بعد يوم تنظيف، راحة نفسية,Ammani,positive,high
كل يوم نفس الأزمة على الدوار الرابع، ما في حل,Ammani,negative,medium
الفاتورة طلعت هاد الشهر ضعف العادي، كيف هيك,Ammani,negative,medium
التوصيلة تأخرت ساعة وما في تعويض ولا اعتذار,Ammani,negative,high
الدكتور قالي لازم أرجع أسبوع ثاني، تعبت من السلف,Ammani,negative,high
صاحبي غير رأيه بآخر لحظة وخرب كل التخطيط,Ammani,negative,medium
الكمبيوتر انهنج وأنا بخلص مشروع مهم، ضاع شغل يوم,Ammani,negative,high
ما في موقف قرب المستشفى، شلت السيارة بالعز,Ammani,negative,high
الفلوس خلصت قبل نهاية الشهر بأسبوع، ضيقة,Ammani,negative,low
رجعت البيت تعبان وما في أكل، اضطريت آمر توصيل,Ammani,negative,high
المعلم طلع مش كفو وضيعنا تلات أشهر من الدورة,Ammani,negative,high
الضجيج من الشارع ما خلاني أنام بالليل,Ammani,negative,medium
طلعلي ضرس عقل والوجع ما طاق، رح أروح الدكتور بكرا,Ammani,negative,medium
الحافلة فاتتني بثانية وانتظرت نص ساعة بالشمس,Ammani,negative,medium
الانترنت مو شغال من الصبح ومعي اجتماع أونلاين,Ammani,negative,high
كتير تعبان هاي الأيام، ما في طاقة على شي,Ammani,negative,medium
الإيجار ارتفع والمالك ما قبل يفاوض، لازم أدور غير,Ammani,negative,high
رسبت بمادة واحدة بعد ما ذاكرت أسابيع، مكسور,Ammani,negative,medium
الراتب مش كافي هالأيام، الأسعار ارتفعت بشكل مجنون,Ammani,negative,high
صرت أنسى أشياء كتيرة، مش عارف شو في,Ammani,negative,medium
السيارة خربت بمكان ما في فيه موبايل نت، تعبت,Ammani,negative,high
الدوام طوّل بدون ما يعطونا سبب، فاتت مواعيد,Ammani,negative,high
ما حدا سألني كيف حالي من أسبوع، حاسس بغربة,Ammani,negative,medium
الطقس حار وما في مكيف بالمكتب، يوم صعب,Ammani,negative,high
الرحلة اتأجلت بآخر لحظة بعد ما حجزنا كل شي,Ammani,negative,low
وجعت راسي من كثر الشاشات هاليوم,Ammani,negative,medium
ما قدرت أنام لحد الفجر من التفكير,Ammani,negative,high
الدوا اللي وصفوه ما نفع، لازم أرجع الدكتور,Ammani,negative,high
كل اجتماع بيأخذ ضعف الوقت المحدد بدون نتيجة,Ammani,negative,medium
الكهربا انقطعت وأنا بحضر للامتحان، فشخ تركيزي,Ammani,negative,high
رحت على الدائرة وما كانوا شايلين المعاملة، رجعت فاضي,Ammani,negative,medium
الولد ما قدر ينام من ألم أسنانه، يوم صعب,Ammani,negative,medium
ما لقيت سيارة تاكسي من نص ساعة والجو حر,Ammani,negative,low
صاحبي حكالي شي عن حالي ما عجبني، زعلت منه,Ammani,negative,high
الأكل من المطعم طلع بارد وما في لحمة كافية,Ammani,negative,medium
رحت على الجهاز وقالولي ما عندنا موعد بهالشهر,Ammani,negative,high
الباص حار جدا ومكتظ وما في مكان أجلس,Ammani,negative,high
كل ما بدي أبدأ بشي جديد بجيني كسل ما بيتحمل,Ammani,negative,medium
المصاري اللي وفرتها خلصت على اشياء ما توقعتها,Ammani,negative,medium
شغلي كتير وما في حدا يساعد، حاسس حالي لحالي فيه,Ammani,negative,medium
اليوم اكتشفت إن في خطأ بالتقرير بعد ما سلمته,Ammani,negative,high
الطابور بالدائرة كان ثلاث ساعات وخلصت بعشر دقايق,Ammani,negative,medium
رفقاتي كلهم مشغولين ومش قادر أشوف حدا,Ammani,negative,high
فقدت ملف مهم بسبب مشكلة بالحاسوب، كارثة,Ammani,negative,high
الجيران مو كويسين، مشاكل ما بتخلص,Ammani,negative,high
كل ما بدي أقلع من الزحمة بتطلعلي أزمة ثانية,Ammani,negative,high
الامتحان كان صعب ومش عارف شو رح تطلع نتيجتي,Ammani,negative,high
ما عندي وقت حر من أسابيع، حاسس عم يطحنني,Ammani,negative,high
الفندق اللي حجزناه كان أقل بكتير مما بالصور,Ammani,negative,medium
وجعت معدتي من الأكل البارد اللي جاب التوصيل,Ammani,negative,medium
ما قدرت أكمل الكتاب من كثر التشتت هالأيام,Ammani,negative,high
ادوي ما عنده هالدواء وبدي ادور في كل الصيدليات,Ammani,negative,medium
الشغل الجديد فيه ضغط أكتر مما قالوا بالمقابلة,Ammani,negative,high
ما في حدا بالبيت حكاني اليوم، حاسس بوحدة,Ammani,negative,high
رحت الحلاق وما عجبني شكل الشعر، بس سكت,Ammani,negative,medium
التطبيق وقف وأنا عم أدفع، وما عرفت إذا نفذ الدفع,Ammani,negative,medium
المقابلة مشت مش تمام، حاسس ما رح ياخذوني,Ammani,negative,high
المدير طلب تعديلات كتيرة آخر لحظة على الملف,Ammani,negative,high
اليوم حاسس ما في شي ماشي تمام,Ammani,negative,high
كل ما بدي أوفر بجي مصروف ما توقعته,Ammani,negative,high
ما لقيت موقف بمجمع كامل، لففت ربع ساعة,Ammani,negative,medium
الضغط هالأيام كتير وما في وقت لنفسي خالص,Ammani,negative,medium
رحت على الصراف وكان معطل، اضطريت أمشي لغيره,Ammani,negative,high
طلبت تحويل من الشغل وما وافقوا بدون سبب واضح,Ammani,negative,high
الفاتورة جاءت على أكتر من المتفق عليه,Ammani,negative,high
ما عرفت أنام لما سمعت الخبر، ليل صعب,Ammani,negative,high
الدوا عمل عندي أعراض جانبية ما توقعتها,Ammani,negative,high
صاحبتي زعلت مني بدون سبب واضح وما بده تحكي,Ammani,negative,low
